Function Type,Function Sub-Type,Function Name,Input 1,Input 2,Input 3,Input 4,# Inputs,Description,Units Input,Units Output
AIRSPEED,COMP CORRECTION,AeroCompCorrnKcasMinusKeas_fHpKcas,hp,kcas,,,2,"Compressibility correction, KCAS - KEAS, f(Hp, KCAS)","feet, KCAS",knots
AIRSPEED,COMP CORRECTION,AeroCompCorrnKcasMinusKeas_fHpKeas,hp,keas,,,2,"Compressibility correction, KCAS - KEAS, f(Hp, KEAS)","feet, KEAS",knots
CONVERSION,TEMPERATURE,AeroConvCelsiusToFahrenheit,oatCelsius,,,,1,Convert °C to °F,°C,°F
CONVERSION,TEMPERATURE,AeroConvCelsiusToKelvin,oatCelsius,,,,1,Convert °C to Kelvin,°C,K
CONVERSION,TEMPERATURE,AeroConvCelsiusToRankine,oatCelsius,,,,1,Convert °C to Rankine,°C,R
CONVERSION,ANGLE,AeroConvDegToRad,deg,,,,1,Convert degrees to radians,degrees,radians
CONVERSION,TEMPERATURE,AeroConvFahrenheitToCelsius,oatFahrenheit,,,,1,Convert °F to °C,°F,°C
CONVERSION,TEMPERATURE,AeroConvFahrenheitToKelvin,oatFahrenheit,,,,1,Convert °F to Kelvin,°F,Kelvin
CONVERSION,TEMPERATURE,AeroConvFahrenheitToRankine,oatFahrenheit,,,,1,Convert °F to Rankine,°F,Rankine
CONVERSION,SPEED,AeroConvFtPerSecToKts,ftPerSec,,,,1,Convert ft/sec to knots,ft/sec,knots
CONVERSION,SPEED,AeroConvFtPerSecToMeterPerSec,ftPerSec,,,,1,Convert ft/sec to m/sec,ft/sec,meters/sec
CONVERSION,SPEED,AeroConvFtPerSecToKmPerHr,ftPerSec,,,,1,Convert ft/sec to km/hr,ft/sec,km/hr
CONVERSION,SPEED,AeroConvFtPerSecToMilePerHr,ftPerSec,,,,1,Convert ft/sec to statute miles/hr,ft/sec,miles/hr
CONVERSION,DISTANCE,AeroConvFtToMeter,ft,,,,1,Convert feet to meters,feet,meters
CONVERSION,DISTANCE,AeroConvFtToNm,ft,,,,1,Convert feet to nautical miles,feet,nautical miles
CONVERSION,DISTANCE,AeroConvFtToKm,ft,,,,1,Convert feet to kilometers,feet,kilometers
CONVERSION,DISTANCE,AeroConvFtToMile,ft,,,,1,Convert feet to statute miles,feet,statute miles
CONVERSION,GRADIENT,AeroConvGradFtPerNmToPct,ftPerNm,,,,1,Convert gradient: feet/nautical mile to %,feet/nautical mile,%
CONVERSION,GRADIENT,AeroConvGradPctToFtPerNm,pct,,,,1,Convert gradient: % to feet/nautical mile,%,feet/nautical mile
CONVERSION,GRADIENT,AeroConvGradPctToDeg,pct,,,,1,Convert gradient: % to degrees,%,degrees
CONVERSION,GRADIENT,AeroConvGradDegToPct,deg,,,,1,Convert gradient: degrees to %,degrees,%
CONVERSION,GRADIENT,AeroConvGradFtPerNmToDeg,ftPerNm,,,,1,Convert gradient: feet/nautical mile to degrees,feet/nautical  mile,degrees
CONVERSION,GRADIENT,AeroConvGradDegToFtPerNm,deg,,,,1,Convert gradient: degrees to feet/nautical mile,degrees,feet/nautical mile
CONVERSION,PRESSURE,AeroConvHPaToInHg,hPa,,,,1,Convert hPa to inches Hg,hPa,inches Hg
CONVERSION,PRESSURE,AeroConvHPaToLbfPerFt2,hPa,,,,1,Convert hPa to lbf/sq.feet,hPa,lbf/sq.feet
CONVERSION,PRESSURE,AeroConvHPaToLbfPerInch2,hPa,,,,1,Convert hPa to lbf/sq.inch,hPa,lbf/Inch2
CONVERSION,PRESSURE,AeroConvInHgToHPa,inHg,,,,1,Convert inches Hg to hPa,inches Hg,hPa
CONVERSION,PRESSURE,AeroConvInHgToLbfPerFt2,inHg,,,,1,Convert inches Hg to lbf/sq.feet,inches Hg,lbf/sq.feet
CONVERSION,PRESSURE,AeroConvInHgToLbfPerInch2,inHg,,,,1,Convert inches Hg to lbf/sq.inch,inches Hg,lbf/Inch2
